instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,3,555.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,9,555.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,10,561.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,8,555.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,5,553.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,7,559.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,1,548.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,2,555.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,4,560.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,9,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,8,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,2,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,5,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,10,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,4,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,3,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,7,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,6,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,CUTH,1,840.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,5,891.0,147.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,2,898.0,210.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,8,890.0,159.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,1,893.0,180.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,3,898.0,134.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,6,898.0,150.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,10,888.0,173.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,9,898.0,124.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,7,891.0,173.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,LBBD,4,895.0,170.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,ILS,8,868.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,ILS,9,894.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,ILS,4,897.0,0.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,ILS,5,896.0,0.0,504.0,313.0,Low,Many
